"id","profileName","text","date","title","rating","images","helpful","Colour Name","Pattern Name"
"RUU4P185AGN9P","Yasemin Castronovo","Habe den Charge 5 nun schon sehr lange. Die akkulaufzeit ist immer noch einwandfrei. Der Sound ist auch richtig klasse. Wurde schon oft angesprochen von Leuten die nicht glauben konnten das der Sound nur aus diesem einem Lautsprecher stammen soll. Hätte man noch einen zweiten, was ich irgendwann mal vorhabe wenn er evtl mal im Angebot ist, wäre stereo natürlich der Punkt auf dem i.Nun zur Kritik.Leider gibt es keinen Knopf um ein leid weiter oder zurück zu drücken. Das finde ich sehr schade. Ich muss also immer mein Handy zur Hand nehmen wenn ein Lied wiederholt werden soll. Bei einer Party kann das lästig sein, denn wenn man mal eben kurz sein Handy verlegt ... naja die 2 Knöpfe fehlen einfach für den Preis.Ansonsten vermisse ich auch irgendwie eine Radio Funktion. Es gibt so viele kleine Geräte die Radio Frequenzen abspielen können. Diese kleine Funktion hätte das Gerät meiner Meinung nach unverzichtbar gemacht. Evtl ein wenig viel verlangt, könnte der ein oder andere jetzt denken. Aber meine Bekannte kaufte sich für 35 Euro eine kleine Musik Box die alle aufgezählten Funktionen aufgezeigt hat. Der Sound war ok für den Preis. Die Box halb so groß. Ich dachte sofort. Warum war das bei der charge nicht möglich? Naja. Evtl beim nächsten Model?Ansonsten zufrieden,  hält auf jedenfall was es verspricht.","Reviewed in Germany 🇩🇪 on 28 May 2023","Plus und minus Punkte",4,"","3","black","Single"
"R137ZQZSOYG67","bonsi","An sich ein toller Lautsprecher der mit seinen 150euro etwas hochgepriesen wird, ja es ist eine JBL und ja der Lautsprecher macht seine Arbeit gut, Verarbeitung und Qualität sind gut,Aber er ging dennoch zurück,Voher hatte ich eine Dockin d fine 2+ erstklassiger Sound super Bass nur die sprunghafte Lautstärke störte mich,Jetzt die JBL:Der Bass ist nicht besonders gut, selbst mit EqualizerAllgemein ist die charge in meinen Augen 100euro wert,Die letzte Box dessen Leistung noch getestet wird ist die soundcore Emotion Boom plusAuf die ich sehr gespannt bin.Fazit: nach wie vor, die JBL ist echt Top und für ihre Größe in meinem Vergleich die beste,Dennoch habe ich die soundcore Emotion Boom plus behalten Grund ist Sie ist zwar etwas groß aber mit Equalizer ist sie vom Klang her besser und da in meinem Fall die Größe egal ist und der Lautsprecher nur im Garten betrieben wird is es die soundcore, wer jedoch den Lautsprecher mit im Urlaub und sonst wohin (Portable) mit nehmen möchte ist definitiv aufgrund der Größe und Kompaktheit mit dieser JBL bestens bedient auch wenn ich nach wie vor den Preis etwas to much finde die Qualität ist dafür jedoch wirklich top.Lg","Reviewed in Germany 🇩🇪 on 18 May 2023","Toller Lautsprecher (JBL) wenn auch nicht optimal",4,"","5","black","Single"
"RMT7HVLPYJQCQ","Amazon Kunde","Es war ein Geschenk für mein Mann und es war das beste Geschenk.. Er liebt diese Box.. Der Klang ist mega. Selbst Fernsehen schauen macht damit Spaß. Kann ich nur Weiterempfehlen! Wir hatten sie auch mit im Urlaub und auch dort war sie den ganzen Tag an. Der Akku hält genau so lange , wie es  hier versprochen wird.","Reviewed in Germany 🇩🇪 on 10 June 2023","Mega!",5,"",0,"black","Single"
"R28Z1PYAISE6RH","Jochen M.","Also für jeden, dem die Flip 6 zu klein und die Boombox 3 zu groß ist, stellt sich sicher die Frage ob die XTREME 3 oder die Charge 5 eine Lösung ist.Habe beide ausprobiert, klar ist die XTREME lauter, aber der Klang ist dennoch sehr vergleichbar.Charge 5, einfach nur WOW!!! Hält lange durch, ist leicht und sehr handlich.","Reviewed in Germany 🇩🇪 on 4 June 2023","Super Klar, endlose Laufzeit",5,"",1,"black","Single"
"R3S97Z7JNH71FC","Marian Berg"," Generell bin ich mit der Soundqualität der Box sehr zufrieden. Der Klang ist klar, kräftig und bietet eine gute Basswiedergabe. Egal ob ich meine Lieblingssongs oder Filme höre, der Sound ist beeindruckend.Leider gibt es jedoch ein Problem mit der PartyBoost-Funktion. Bei meinem Modell funktioniert sie nicht richtig. Immer wenn ich versuche, die Box mit einer anderen PartyBoost-fähigen JBL-Box zu verbinden, hängt sie sich auf und die Musik wird nicht flüssig abgespielt. Ich habe versucht, die Box neu zu starten und verschiedene Verbindungsmethoden ausprobiert, aber das Problem besteht weiterhin.Ich frage mich, ob andere Benutzer ähnliche Schwierigkeiten mit der PartyBoost-Funktion haben (siehe Video: spielt nicht flüssig ab) . Es ist enttäuschend, dass diese Funktion nicht wie erwartet funktioniert, da sie ein Hauptmerkmal der Charge 5 ist. Ich hoffe, dass JBL dieses Problem in Zukunft durch ein Software-Update beheben kann, um das volle Potenzial der PartyBoost-Funktion auszuschöpfen.Trotz dieses Mangels ist die Charge 5 immer noch eine leistungsstarke und robuste Bluetooth-Box. Sie ist wasserfest, verfügt über eine lange Akkulaufzeit und kann auch als Powerbank für andere Geräte verwendet werden. Die Verarbeitungsqualität ist hochwertig und das Design ist ansprechend.Insgesamt bin ich mit der JBL Charge 5 zufrieden, abgesehen von dem Problem mit der PartyBoost-Funktion. Der großartige Klang und die vielseitigen Funktionen machen sie zu einer guten Wahl für Musikliebhaber und Outdoor-Enthusiasten. Ich hoffe, dass JBL das Problem bald beheben kann, um das volle Potenzial dieses Produkts auszuschöpfen.","Reviewed in Germany 🇩🇪 on 1 June 2023","Party Boost",4,"",1,"black","Single"
"R187NK584E7HFD","Matija","The quality of the sound is amazing, i would recommend to everyone who wants portability and amazing speaker for the price. Well done JBL 🙂","Reviewed in Germany 🇩🇪 on 8 June 2023","Sound",5,"",0,"black","Single"
"R1T5IRDSEEBHDM","Sandra","Da meine alte JBL Box nach Jahren leider ihren Geist aufgegeben hat, musste eine Neue her. Die Box hat ordentlich wumms und für mich auch einen guten Klang. Ich  in sehr zufrieden.","Reviewed in Germany 🇩🇪 on 5 June 2023","Super Box",5,"",0,"black","Single"
"R25UEGSE2PO2VL","Bernhard Müller","Es ist erstaunlich was mittlerweile möglich ist.Die Box sorgt eine tolle Wiedergabe.Für die Größe und ein toller Klang und Lautstärke.","Reviewed in Germany 🇩🇪 on 7 June 2023","Macht spass",5,"",0,"black","Single"
"R2J1ZQZKW11V01","Lydia Polland","Die JBL Charge 5 kann ich nur empfehlen da sie lauter ist als ihr Vorgänger und auch einen extrem guten Akku hat.","Reviewed in Germany 🇩🇪 on 9 June 2023","JBL Charge 5",5,"",0,"black","Single"
"R24QJB8H03VZQT","Cristina","Auch wenn es nicht sehr groß ist, hat es einen lauten, klaren Klang und einen guten Bass, den Sie über die Anwendung anpassen können.  Ich empfehle mit Zuversicht!","Reviewed in Germany 🇩🇪 on 4 June 2023","Ein super Lautsprecher.",5,"",0,"black","Single"
"R2X7ZIGDSIR3OG","Oliver A.","Habe schon den Vorgänger Charge 4 im Besitz und war höchst zufrieden. Daher das Upgrade auf den Fünfer.CHARGE 4:*lange Akkulaufzeit bzw. Spielzeit, trotz größerer Lautstärke.*Design*Anschlüsse und Funktion sprich USB C Ladeport, Klinken Anschluss, USB A Ausgang Powerbank Funktion, Bluetooth, Kopplungen*Klang (natürlich sehr subjektiv, bin auch kein MaßtabCHARGE 5* habe den Eindruck die Spieldauer ist kürzer, die Akku Leistung geringer. Objektiver Test mir Messungen leider noch nicht gemacht. Allerdings ist mir das schnell aufgefallen.*Design*Anschlüsse (habe meine 5er leider gerade nicht zur Hand, ich glaube aber es gibt keinen Klinke mehr)*Klang besser als beim Vorgänger, allerdings ist mein Hörvermögen nicht mehr das besteIst die Fünfer so viel besser, das sich der Umstieg, bzw. die Investition lohnt?Nur für Audiophile, Enthusiasten und Spezis. Realistisch betrachtet hätte ich den Kauf auch lassen können.Zweifellos ist die JBL C4 als auch eben die C5 ein spitzenmäßiges Stück Technik. Ich denke Preis/Leistung ist bei JBL sehr gut. Bose und Teufel haben da meiner Meinung nach einen schlechteren Schnitt.Empfehle die CHARGE 5 aber ganz klar.","Reviewed in Germany 🇩🇪 on 25 March 2023","JBL Charge 5 black",5,"","7","black","Single"
"RWU1TUUE4VE9B","bellheim","Super Sound bei geringen Abmessungen. Akkuleistung auch sehr gut. Der kleine Kamerad ist zu empfehlen.","Reviewed in Germany 🇩🇪 on 9 June 2023","Top",5,"",0,"black","Single"
"R1ER5GGP1LNUV3","Ronny L.","Top Qualität und super Sound - empfehlendswert","Reviewed in Germany 🇩🇪 on 11 June 2023","Top",5,"",0,"black","Single"
